variable,valid_invention_patents_count,patents_per_10000_people_supplement,regular_higher_education_institutions_2024,regular_higher_education_fulltime_teachers_2024,postgraduate_enrollment_2024,postgraduate_entrants_2024,gdp_亿元,per_capita_disposable_income_元,industrial_added_value_亿元,secondary_industry_share_pct,tertiary_industry_share_pct,hospitals_2024,health_institutions_total_2024,medical_beds_per_10000_people_2024,licensed_physicians_per_10000_people_2024,registered_nurses_10000_2024
valid_invention_patents_count,1,0.918014147,0.888348789,0.796103795,0.69371706,0.696293917,0.942387971,0.838072639,0.834369232,-0.224247087,0.707218087,0.722054148,0.575465837,0.314880213,0.688380039,0.915972951
patents_per_10000_people_supplement,0.918014147,1,0.876119747,0.825465237,0.749287335,0.751027332,0.819349553,0.920667235,0.669310617,-0.169139564,0.748490954,0.563358021,0.308213267,0.083149411,0.701174717,0.753127686
regular_higher_education_institutions_2024,0.888348789,0.876119747,1,0.981853935,0.941883583,0.943092931,0.709209109,0.689141711,0.530435071,-0.549712358,0.921805129,0.64209652,0.437319693,0.383823261,0.890756199,0.823136809
regular_higher_education_fulltime_teachers_2024,0.796103795,0.825465237,0.981853935,1,0.984470434,0.985250787,0.576346564,0.593365062,0.387813349,-0.642714713,0.951778977,0.589817598,0.36313155,0.36754531,0.895151749,0.741137505
postgraduate_enrollment_2024,0.69371706,0.749287335,0.941883583,0.984470434,1,0.999973371,0.442501268,0.49560274,0.243659112,-0.679558086,0.935641296,0.526871854,0.267717373,0.35355036,0.883009062,0.636665548
postgraduate_entrants_2024,0.696293917,0.751027332,0.943092931,0.985250787,0.999973371,1,0.445789478,0.496926742,0.2468964,-0.680290954,0.937030798,0.529528873,0.272678229,0.354783753,0.88353861,0.640844288
gdp_亿元,0.942387971,0.819349553,0.709209109,0.576346564,0.442501268,0.445789478,1,0.839213444,0.905602794,-0.001651691,0.499901267,0.710395459,0.645991583,0.289365363,0.518266353,0.89119637
per_capita_disposable_income_元,0.838072639,0.920667235,0.689141711,0.593365062,0.49560274,0.496926742,0.839213444,1,0.699113663,0.140706621,0.52013747,0.404633399,0.192140216,-0.01210821,0.569486871,0.622778941
industrial_added_value_亿元,0.834369232,0.669310617,0.530435071,0.387813349,0.243659112,0.2468964,0.905602794,0.699113663,1,0.151994282,0.277587251,0.566921926,0.556364733,0.128977627,0.241445693,0.752956077
secondary_industry_share_pct,-0.224247087,-0.169139564,-0.549712358,-0.642714713,-0.679558086,-0.680290954,-0.001651691,0.140706621,0.151994282,1,-0.745309419,-0.336926016,-0.346680848,-0.467488008,-0.650304337,-0.396279024
tertiary_industry_share_pct,0.707218087,0.748490954,0.921805129,0.951778977,0.935641296,0.937030798,0.499901267,0.52013747,0.277587251,-0.745309419,1,0.543481652,0.345830932,0.382624888,0.917499666,0.706888909
hospitals_2024,0.722054148,0.563358021,0.64209652,0.589817598,0.526871854,0.529528873,0.710395459,0.404633399,0.566921926,-0.336926016,0.543481652,1,0.792130656,0.653224903,0.470713361,0.846812536
health_institutions_total_2024,0.575465837,0.308213267,0.437319693,0.36313155,0.267717373,0.272678229,0.645991583,0.192140216,0.556364733,-0.346680848,0.345830932,0.792130656,1,0.625569264,0.344443127,0.831758214
medical_beds_per_10000_people_2024,0.314880213,0.083149411,0.383823261,0.36754531,0.35355036,0.354783753,0.289365363,-0.01210821,0.128977627,-0.467488008,0.382624888,0.653224903,0.625569264,1,0.474076055,0.527453143
licensed_physicians_per_10000_people_2024,0.688380039,0.701174717,0.890756199,0.895151749,0.883009062,0.88353861,0.518266353,0.569486871,0.241445693,-0.650304337,0.917499666,0.470713361,0.344443127,0.474076055,1,0.670111088
registered_nurses_10000_2024,0.915972951,0.753127686,0.823136809,0.741137505,0.636665548,0.640844288,0.89119637,0.622778941,0.752956077,-0.396279024,0.706888909,0.846812536,0.831758214,0.527453143,0.670111088,1
