"scenario","城市","首要障碍","障碍度","当前值","前3均值","原得分","新得分","Δ得分","原排名","新排名","↑位数"
"提升至全省前3名均值","南京","二产占比","0.531","0.000","0.998","0.7527","0.8658","+0.1131","1","1","0"
"提升至全省前3名均值","苏州","万人医师","0.295","0.279","0.568","0.7153","0.7579","+0.0426","2","1","1"
"提升至全省前3名均值","无锡","工业增加值","0.145","0.296","0.722","0.6059","0.6423","+0.0364","3","3","0"
"提升至全省前3名均值","南通","万人医师","0.180","0.011","0.568","0.5242","0.5775","+0.0533","4","4","0"
"提升至全省前3名均值","徐州","万人医师","0.126","0.255","0.568","0.4874","0.5147","+0.0272","5","5","0"
"提升至全省前3名均值","常州","万人医师","0.139","0.130","0.568","0.4767","0.5167","+0.0400","6","5","1"
"提升至全省前3名均值","扬州","万人医师","0.116","0.125","0.568","0.3897","0.4270","+0.0373","7","7","0"
"提升至全省前3名均值","盐城","万人医师","0.100","0.248","0.568","0.3816","0.4122","+0.0305","8","7","1"
"提升至全省前3名均值","镇江","医院数","0.110","0.000","0.926","0.3601","0.4186","+0.0585","9","7","2"
"提升至全省前3名均值","泰州","万人专利","0.090","0.122","0.741","0.3537","0.3927","+0.0390","10","7","3"
"提升至全省前3名均值","宿迁","万人医师","0.107","0.000","0.568","0.3182","0.3550","+0.0369","11","10","1"
"提升至全省前3名均值","淮安","工业增加值","0.103","0.017","0.722","0.3054","0.3592","+0.0539","12","10","2"
"提升至全省前3名均值","连云港","万人医师","0.109","0.001","0.568","0.2939","0.3369","+0.0430","13","11","2"
