dimension,variable,indicator_name,shapiro_stat,shapiro_p,normality_flag,transform_note
创新供给能力,valid_invention_patents_count,有效发明专利,0.7387688084825521,0.0013947895192339152,拒绝正态性假设,建模标准化前建议 log1p；描述统计仍使用原始量纲
创新供给能力,patents_per_10000_people_supplement,万人专利,0.8961254325160409,0.11832393029217747,未拒绝正态性假设,不强制变换；按模型需要标准化
创新供给能力,regular_higher_education_institutions_2024,高校数,0.6313239063391971,0.00012371038663069918,拒绝正态性假设,建模标准化前建议 log1p；描述统计仍使用原始量纲
创新供给能力,regular_higher_education_fulltime_teachers_2024,高校教师,0.55587832433202,2.793138770041953e-05,拒绝正态性假设,建模标准化前建议 log1p；描述统计仍使用原始量纲
创新供给能力,postgraduate_enrollment_2024,研究生在校,0.4464064574301001,4.073871040001696e-06,拒绝正态性假设,建模标准化前建议 log1p；描述统计仍使用原始量纲
创新供给能力,postgraduate_entrants_2024,研究生招生,0.45082907806404526,4.383332318287936e-06,拒绝正态性假设,建模标准化前建议 log1p；描述统计仍使用原始量纲
产业承载能力,gdp_亿元,GDP,0.8403078961682173,0.021387870187259055,拒绝正态性假设,建模标准化前建议 log1p；描述统计仍使用原始量纲
产业承载能力,per_capita_disposable_income_元,居民收入,0.9271571657696078,0.3127025993364563,未拒绝正态性假设,不强制变换；按模型需要标准化
产业承载能力,industrial_added_value_亿元,工业增加值,0.7278889530260498,0.0010704497694086692,拒绝正态性假设,建模标准化前建议 log1p；描述统计仍使用原始量纲
产业承载能力,secondary_industry_share_pct,二产占比,0.8136992985998592,0.009961356004719039,拒绝正态性假设,不强制变换；按模型需要标准化
产业承载能力,tertiary_industry_share_pct,三产占比,0.7248808449518407,0.0009957612889024154,拒绝正态性假设,不强制变换；按模型需要标准化
医疗应用与转化基础,hospitals_2024,医院数,0.8982026089696563,0.12634574326997877,未拒绝正态性假设,建模标准化前建议 log1p；描述统计仍使用原始量纲
医疗应用与转化基础,health_institutions_total_2024,医疗机构,0.9648042025103911,0.8255471698701096,未拒绝正态性假设,建模标准化前建议 log1p；描述统计仍使用原始量纲
医疗应用与转化基础,medical_beds_per_10000_people_2024,万人床位,0.9267392675829322,0.30874502705453144,未拒绝正态性假设,不强制变换；按模型需要标准化
医疗应用与转化基础,licensed_physicians_per_10000_people_2024,万人医师,0.7621440936292944,0.0025050388581602774,拒绝正态性假设,不强制变换；按模型需要标准化
医疗应用与转化基础,registered_nurses_10000_2024,注册护士,0.8486699051784915,0.027395424517033574,拒绝正态性假设,建模标准化前建议 log1p；描述统计仍使用原始量纲
